Crime,Registered,Detected
Rape u/s  POCSO (ii)Minor,43,40
Rape u/s (ii) Major,37,21
Total Rape Cases,80,61
Kidnapping  of Women  (i) Minor,110,82
Kidnapping  of Women (ii) Major,1,1
Total Kidnapping  Cases,111,83
Outraging Modesty of Women,174,150
Intended insult  to Modesty of  Women,75,61
Dowry related murder ,,
Dowry Death,,
Dowry related suicides ,,
Dowry related Mental/Phy. Harrasment ,32,21
Murder due to other reasons ,,
Suicides due to other reasons ,,
Mental/Phy. Harrast. due to other reasons,43,29
Acid Attack,,
Molestation with POCSO,35,31
Eve-Teasing with POCSO,2,
Other IPC with POCSO,,
PITA With POCSO  (Excluding Rape),,
