Crime,Registered,Detected
Tampering of Source Code,0,0
Phishing / MIM Attack / Spoofing Mail,11,0
Pornography,2,2
Obscene Email / SMS / MMS / Post,15,8
Fake Social Media Profile / Morphing Email / SMS,15,3
Credit Card / Online Fraud,103,3
Hacking,8,1
Custom/Gift Fraud,2,0
Purchase Fraud,9,0
Job Fraud,18,1
Insurance / Provident Fund Fraud,0,0
Admission Fraud,0,0
Fake Website,15,0
Share Market Investment Fraud,57,4
Investment Fraud,27,1
Matrimonial Fraud,0,0
Cryptocurrency Fraud,1,0
Loan Fraud,9,1
Pretended as Government Official,15,1
Other Cheating,104,5
Data Theft,0,0
Sextortion,0,0
Communal Post,0,0
Other Cyber Crime,31,7
