Date,Crime,Registered,Detected
01-11-2025,Murder,9,9
01-11-2025,Attempt to Commit Murder,28,28
01-11-2025,Dacoity,3,3
01-11-2025,Preparation for Dacoity,0,0
01-11-2025,Robbery,30,29
01-11-2025,Robbery Chain Snatching,13,13
01-11-2025,Attempt to Commit Robbery,0,0
01-11-2025,Extortion,21,17
01-11-2025,HBT Day,14,3
01-11-2025,HBT Night,82,34
01-11-2025,Theft,618,140
01-11-2025,Motor Vehicle Theft,194,46
01-11-2025,Snatching,6,4
01-11-2025,Hurt,301,274
01-11-2025,Riots,38,35
01-11-2025,Rape,97,76
01-11-2025,Molestation,193,167
01-11-2025,Other I.P.C.,4543,3707
01-11-2025,Rape u/s POCSO (ii) Minor,50,46
01-11-2025,Rape u/s (ii) Major,46,29
01-11-2025,Kidnapping of Women (i) Minor,135,112
01-11-2025,Kidnapping of Women (ii) Major,1,1
01-11-2025,Outraging Modesty of Women,194,167
01-11-2025,Insult to Modesty of Women,84,71
01-11-2025,Dowry related Mental/Phy. Harrasment,33,19
01-11-2025,Murder due to other reasons,1,1
01-11-2025,Suicides due to other reasons,1,1
01-11-2025,Mental/Phy. Harrast. due to other reasons,31,23
01-11-2025,Molestation with POCSO,42,36
01-11-2025,Eve-Teasing with POCSO,5,4
01-11-2025,Other IPC with POCSO,1,1
01-11-2025,Tampering of Source Code,0,0
01-11-2025,Phishing / MIM Attack / Spoofing Mail,48,4
01-11-2025,Pornography,15,10
01-11-2025,Obscene Email / SMS / MMS / Post,228,175
01-11-2025,Fake Social Media Profile / Morphing Email / SMS,158,90
01-11-2025,Credit Card / Online Fraud,524,117
01-11-2025,Hacking,71,9
01-11-2025,Custom/Gift Fraud,41,5
01-11-2025,Purchase Fraud,88,21
01-11-2025,Job Fraud,285,61
01-11-2025,Insurance / Provident Fund Fraud,23,6
01-11-2025,Admission Fraud,3,1
01-11-2025,Fake Website,92,24
01-11-2025,Share Market Investment Fraud,788,210
01-11-2025,Investment Fraud,248,60
01-11-2025,Matrimonial Fraud,20,7
01-11-2025,Cryptocurrency Fraud,50,13
01-11-2025,Loan Fraud,44,18
01-11-2025,Digital Arrest,164,64
01-11-2025,Other Cheating,1045,268
01-11-2025,Data Theft,27,11
01-11-2025,Sextortion,33,22
01-11-2025,Communal Post,14,8
01-11-2025,Other Cyber Crime,213,112
